route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"388",1,553,"Eastbound Kaiser",0,125,54
"388",1,554,"Westbound Pittsburg-Bay Point BART",1,125,60
"391",1,555,"Eastbound Brentwood Park & Ride",0,125,48
"381",1,556,"Eastbound Los Medanos College",0,126,22
"381",1,557,"Westbound Pittsburg Marina",1,126,28
"381",1,558,"Eastbound Los Medanos College",0,126,22
"381",1,559,"Westbound Pittsburg Marina",1,126,28
"381",1,560,"Eastbound Los Medanos College",0,126,22
"381",1,561,"Westbound Pittsburg Marina",1,126,28
"381",1,562,"Eastbound Los Medanos College",0,126,22
"381",1,563,"Westbound Pittsburg Marina",1,126,28
"381",1,564,"Eastbound Los Medanos College",0,126,22
"381",1,565,"Westbound Pittsburg Marina",1,126,28
"381",1,566,"Eastbound Los Medanos College",0,126,22
"381",1,567,"Westbound Pittsburg Marina",1,126,28
"381",1,568,"Eastbound Los Medanos College",0,126,22
"381",1,569,"Westbound Pittsburg Marina",1,126,28
"381",1,570,"Eastbound Los Medanos College",0,126,22
"381",1,571,"Westbound Pittsburg Marina",1,126,28
"381",1,572,"Eastbound Los Medanos College",0,126,22
"381",1,573,"Westbound Pittsburg Marina",1,126,28
"381",1,574,"Eastbound Los Medanos College",0,126,22
"381",1,575,"Westbound Pittsburg Marina",1,126,28
"381",1,576,"Eastbound Los Medanos College",0,126,22
"381",1,577,"Westbound Pittsburg Marina",1,126,28
"381",1,578,"Eastbound Los Medanos College",0,126,22
"381",1,579,"Westbound Pittsburg Marina",1,126,28
"381",1,580,"Eastbound Los Medanos College",0,126,22
"381",1,581,"Westbound Pittsburg Marina",1,126,28
"380",1,582,"Westbound Pittsburg-Bay Point BART",1,127,49
"380",1,583,"Eastbound Antioch BART",0,127,32
"390",1,584,"Westbound Pittsburg-Bay Point BART",1,128,16
"201",1,585,"Westbound Concord BART",1,128,8
"201",1,586,"Eastbound Pittsburg-Bay Point BART",0,128,9
"391",1,587,"Eastbound Brentwood Park & Ride",0,128,48
"201",1,588,"Westbound Concord BART",1,128,8
"201",1,589,"Eastbound Pittsburg-Bay Point BART",0,128,9
"388",1,590,"Eastbound Kaiser",0,128,54
"388",1,591,"Westbound Pittsburg-Bay Point BART",1,128,60
"201",1,592,"Westbound Concord BART",1,128,8
"201",1,593,"Eastbound Pittsburg-Bay Point BART",0,128,9
"380",1,594,"Eastbound Antioch BART",0,128,32
"380",1,595,"Westbound Pittsburg-Bay Point BART",1,128,49
"391",1,596,"Eastbound Brentwood Park & Ride",0,128,48
"201",1,597,"Westbound Concord BART",1,129,8
"201",1,598,"Eastbound Pittsburg-Bay Point BART",0,129,9
"391",1,599,"Eastbound Brentwood Park & Ride",0,129,48
"385",1,600,"Westbound Antioch BART",1,129,42
"380",1,601,"Westbound Pittsburg-Bay Point BART",1,129,49
"388",1,602,"Eastbound Kaiser",0,129,54
"384",1,603,"Eastbound Brentwood Park & Ride",0,129,46
"300",1,604,"Westbound Antioch BART",1,129,26
"380",1,605,"Westbound Pittsburg-Bay Point BART",1,129,49
"390",1,606,"Eastbound Antioch BART",0,129,7
"381",1,607,"Westbound Pittsburg Marina",1,130,28
"381",1,608,"Eastbound Los Medanos College",0,130,22
"381",1,609,"Westbound Pittsburg Marina",1,130,28
"381",1,610,"Eastbound Los Medanos College",0,130,22
"381",1,611,"Westbound Pittsburg Marina",1,130,28
"381",1,612,"Eastbound Los Medanos College",0,130,22
"381",1,613,"Westbound Pittsburg Marina",1,130,28
"381",1,614,"Eastbound Los Medanos College",0,130,22
"381",1,615,"Westbound Pittsburg Marina",1,130,28
"381",1,616,"Eastbound Los Medanos College",0,130,22
"381",1,617,"Westbound Pittsburg Marina",1,130,28
"381",1,618,"Eastbound Los Medanos College",0,130,22
