timetable_id,stop_id,stop_sequence,stop_name,connected_routes
2190,757383,5,Montgomery Village,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
2190,757392,6,St Francis Ctr (Hwy 12 & Calistoga Rd),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma"
2190,757400,7,Oakmont Dr & White Oak,"30/Santa Rosa, Sonoma Valley"
2190,757404,8,Ac Oakmont Golf Course,"30/Santa Rosa, Sonoma Valley"
2190,757405,9,Valley Oaks & Pythian Rd,"30/Santa Rosa, Sonoma Valley"
2190,757409,10,Los Guilicos,"30/Santa Rosa, Sonoma Valley"
2190,757413,11,Kenwood (Hwy 12 & Greene St),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2190,757420,12,Glen Ellen (Arnold Dr & London Ranch Rd),"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2190,757422,13,Sonoma Dev Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2190,757426,14,Hanna Boys Center,"30/Santa Rosa, Sonoma Valley, 38/Sonoma Valley, San Rafael"
2190,757432,15,Boyes Hot Springs,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2190,757442,16,El Verano (Verano Ave & Bay St),"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 32/Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
2190,757448,17,5th St W & W Napa,"30/Santa Rosa, Sonoma Valley, 30X/Santa Rosa, Sonoma Valley, 34/Santa Rosa, Sonoma, 38/Sonoma Valley, San Rafael"
